Task Type,Task Complexity,Execution Time,Energy Consumption,Cost
Vehicle Detection (Metro),7.24622899297175,4.830819328647833,0.5403181196538779,0.08860150633558045
Route Detection,5.607655217685895,4.101976006256753,0.4986393945178169,0.2500691976050765
Route Detection,6.35996381093773,4.460339800910977,0.43898045282381387,0.233847663310637
Vehicle Detection (Metro),7.325781867823924,4.883854578549283,0.5908032511388113,0.25069489411080365
Vehicle Detection (Bus),3.6978411087947216,3.2223554138466275,0.5640746097698947,0.05938025949363745
Vehicle Detection (Bus),6.8346983740556295,4.556465582703753,0.2160151647523978,0.45969168069554334
Vehicle Detection (Tram),7.068790325655746,4.712526883770497,0.23652885158360137,0.3044454373416459
Vehicle Detection (Bus),5.353323447792242,3.568882298528161,0.4170325735664734,0.2126863044706071
Vehicle Detection (Tram),6.167139946138315,4.111426630758877,0.7399522582249827,0.4483684966620659
Vehicle Detection (Metro),7.669679307731135,5.113119538487424,0.7616876352429974,0.32691957261311355
Vehicle Detection (Tram),5.923099579738455,3.94873305315897,0.4175564859241343,0.11464380796281123
Vehicle Detection (Tram),5.584279754054284,3.722853169369523,0.7623096966197941,0.2737212685755169
Vehicle Detection (Tram),6.816080036296114,4.544053357530743,0.3278329716506885,0.1008254930978999
Vehicle Detection (Metro),6.581297169108732,4.3875314460724875,0.47425771233073843,0.403387825085991
Vehicle Detection (Bus),4.882085701919699,2.8186462975065196,0.5772392622121525,0.12866322964049032
Vehicle Detection (Metro),8.454032273029734,5.636021515353156,0.24026695462294265,0.1922446623580074
Pedestrian Detection,1.5489668107541714,1.8426624675857362,0.7293882150541497,0.11549971755824642
Vehicle Detection (Tram),6.2806319866712474,4.187087991114165,0.8817433834770815,0.36803056977857246
Route Detection,6.5145800796585895,4.568774552702798,0.27483476304337945,0.3383557499706071
Pedestrian Detection,3.4787269373189957,6.6154801292941166,0.38961662089955595,0.25998124586178434
Vehicle Detection (Metro),6.581297169108732,4.3875314460724875,0.24825714531003146,0.2871724270968603
Vehicle Detection (Tram),5.694955824453704,3.7966372163024693,0.5899118977623222,0.10737735924539152
Vehicle Detection (Tram),5.847235811622452,3.8981572077483015,0.6170953407426757,0.42894242764578744
Vehicle Detection (Metro),7.465539580319977,4.977026386879984,0.8088265216790937,0.05912764299490386
Route Detection,4.980917689974351,3.4931936844430704,0.21243061906544655,0.1357937551131736
Route Detection,5.5775340057471965,6.635076040828467,0.3074794618063159,0.23309244938111523
Route Detection,4.613444536896996,3.2354791471970614,0.13089193848001018,0.30852763172921055
Route Detection,5.485310412049261,4.012481299872375,0.750178867134211,0.31556443600958267
Pedestrian Detection,3.570012359528748,2.503704217556292,0.3762141328258699,0.2740080783165326
Vehicle Detection (Metro),6.912165307846438,4.608110205230958,0.10124178128103671,0.3235245075372206
Pedestrian Detection,2.853023214717499,1.6483283208802793,0.3649928970403156,0.08548991030876477
Vehicle Detection (Metro),6.889299726854127,4.592866484569418,0.6252476469265384,0.3961194992796082
Vehicle Detection (Tram),6.856093527290534,4.570729018193689,0.5702709644672946,0.1673726588101671
Route Detection,6.482836093153351,4.742167104486175,0.39463311679814705,0.24629449046069926
Vehicle Detection (Bus),6.082498255318887,4.054998836879258,0.9243496111470968,0.0825369193938334
Route Detection,4.248206311046627,2.454392498216619,0.2647819308042006,0.12909932473061025
Pedestrian Detection,2.345318958479455,1.3540574669122625,0.43911809461189066,0.3242958568861265
Pedestrian Detection,3.3354241973188117,3.2653099481963483,0.37448654214781607,0.10768051254564072
Pedestrian Detection,1.8005101936309738,1.7626615084876398,0.6662887923556859,0.19716719344585698
Vehicle Detection (Bus),5.807304013580431,3.871536009053621,0.44138766791837414,0.3190489342199251
Vehicle Detection (Tram),7.095346470431647,4.7302309802877645,0.7214395338955684,0.2381861482910655
Pedestrian Detection,3.2168015235470975,1.8585004939886334,0.5465761046046529,0.3350795310206569
Vehicle Detection (Bus),5.196144617259456,3.464096411506304,0.8708907782954364,0.1474583062930404
Pedestrian Detection,2.5475458253348036,1.863518965539272,0.6203446493539856,0.05777995899941095
Vehicle Detection (Metro),6.12870808590419,4.085805390602793,0.7826034623212735,0.3641452850085921
Route Detection,4.93713096845866,2.8524173084975404,0.46702943681449227,0.2481432051814907
Pedestrian Detection,2.970097346782252,2.1726136111797714,0.3165272345569551,0.17656506738259364
Vehicle Detection (Bus),5.038940977869438,3.359293985246292,0.6969022230207595,0.3631651627289889
Vehicle Detection (Bus),6.858429149427334,4.572286099618222,0.46099207866664127,0.33103607373307425
Route Detection,6.555517861083334,3.784793482858101,0.4343656723796654,0.31145263684441726
Vehicle Detection (Metro),6.710676501396997,4.473784334264665,0.9914348593038955,0.0867768008761802
Vehicle Detection (Tram),6.8620458171454874,4.574697211430325,0.25344526981147053,0.14013061830065157
Vehicle Detection (Bus),3.894351237565062,4.057548893076622,0.7964662084104813,0.17530329055033791
Vehicle Detection (Metro),8.989107870203227,5.992738580135485,0.9370624296020427,0.15088316036582822
Vehicle Detection (Bus),6.3458031781526625,4.230535452101775,0.7572330563832192,0.2759094855717425
Pedestrian Detection,3.9018902448850805,4.065403831920136,0.4706016151657846,0.20939277299618456
Vehicle Detection (Bus),4.533634155847022,3.950678284080005,0.6162918153723767,0.08870352321557104
Vehicle Detection (Tram),7.579171716743957,5.052781144495971,0.6000026537925504,0.40019167753031865
Vehicle Detection (Metro),6.757643386609425,4.50509559107295,0.477988394447844,0.2794112054379914
Vehicle Detection (Metro),7.398028723350594,4.9320191489003955,0.1949161594518853,0.234480916272914
Route Detection,6.316271453321946,3.683171202967984,0.30079627398866204,0.24400705101133574
Pedestrian Detection,3.155725005253132,1.8219411016295564,0.34520337816535396,0.24030125545209727
Vehicle Detection (Bus),6.55844420124612,4.37229613416408,0.25116515302629117,0.43187382658519596
Vehicle Detection (Bus),3.922450984446991,2.2661880252414655,0.6006678258847736,0.32077589615046087
Pedestrian Detection,3.8131036525131017,3.7329480610183254,0.7671476516823135,0.05983190149932325
Vehicle Detection (Bus),6.328366743568747,4.218911162379165,0.30553413504952076,0.39269943058821927
Vehicle Detection (Tram),6.76271844339086,4.508478962260573,0.8557591409805039,0.07618463166988862
Pedestrian Detection,3.213486650740568,2.2536672902673223,0.30627257221734117,0.12275775820915487
Route Detection,4.42222170267021,8.409720086824196,0.2531049376480617,0.11290939637367063
Vehicle Detection (Bus),4.259842156885043,2.9874923950473478,0.38537889093845873,0.12197599802053777
Vehicle Detection (Tram),6.519310517762297,4.346207011841531,0.43162229800665897,0.06523465509471515
Vehicle Detection (Bus),4.198003396661479,2.944123927605788,0.5227739536250298,0.15652285689246792
Vehicle Detection (Metro),6.102311399659026,4.068207599772684,0.9568718088294499,0.08507486146413223
Route Detection,6.441959730841965,7.663403328791584,0.6139757365281298,0.052307641467420146
Vehicle Detection (Metro),6.78274513338519,4.52183008892346,0.9404487083933204,0.3673207170287682
Pedestrian Detection,1.3966778970648308,0.8063645793483305,0.4586645884086841,0.28862743852410633
Vehicle Detection (Bus),5.579401838668936,3.7196012257792908,0.3252436322358016,0.24977567333804773
Vehicle Detection (Bus),5.063803608538625,3.3758690723590834,0.8170173628224684,0.234685662309356
Vehicle Detection (Metro),7.853953515530375,5.235969010353583,0.5834813199575256,0.10792532683761497
Vehicle Detection (Tram),7.874433882681315,5.24962258845421,0.841055681612803,0.05614733901039246
Vehicle Detection (Bus),5.989348376992246,3.9928989179948307,0.22288670642169464,0.375345839734363
Pedestrian Detection,2.3904924058327404,1.6764888509545015,0.5125487070243345,0.2918134938595942
Pedestrian Detection,2.0579069776983867,1.7932916790306772,0.4038024978258479,0.11513286313006821
Vehicle Detection (Metro),8.300710746837396,5.533807164558264,0.4085572149253949,0.39434151353281205
Vehicle Detection (Bus),6.324774790681054,4.216516527120702,0.8368889608866346,0.43321237717881833
Vehicle Detection (Metro),7.586439865870499,5.0576265772469995,0.7034399817202,0.25684218092625816
Vehicle Detection (Tram),7.675298280217014,5.1168655201446755,0.7939355678935306,0.24728479207142673
Vehicle Detection (Metro),8.565117414116617,5.710078276077745,0.4770963335608971,0.26012290685592804
Vehicle Detection (Bus),4.071852619048595,3.986257842482717,0.6901791280883736,0.24056661157657627
